"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1976,94,"PStewart",0.501,0.161,0.499,0.187,0.822
1977,94,"PStewart",0.316,0.166,0.313,0,0.648
1978,94,"PStewart",0.496,0.163,0.491,0.184,0.823
1979,94,"PStewart",0.458,0.163,0.456,0.15,0.786
1980,94,"PStewart",0.7,0.21,0.695,0.306,1.13
1993,109,"RBGinsburg",-0.197,0.221,-0.194,-0.637,0.225
1994,109,"RBGinsburg",-0.431,0.203,-0.429,-0.836,-0.044
1995,109,"RBGinsburg",-0.485,0.207,-0.483,-0.899,-0.089
1996,109,"RBGinsburg",-0.576,0.207,-0.574,-0.987,-0.178
1997,109,"RBGinsburg",-0.773,0.229,-0.771,-1.235,-0.345
1998,109,"RBGinsburg",-0.924,0.232,-0.917,-1.397,-0.482
1999,109,"RBGinsburg",-1.323,0.246,-1.315,-1.832,-0.858
2000,109,"RBGinsburg",-1.542,0.269,-1.534,-2.094,-1.046
2001,109,"RBGinsburg",-1.649,0.283,-1.643,-2.225,-1.114
2002,109,"RBGinsburg",-1.706,0.298,-1.698,-2.302,-1.144
2003,109,"RBGinsburg",-1.774,0.295,-1.765,-2.372,-1.225
2004,109,"RBGinsburg",-1.719,0.297,-1.711,-2.324,-1.156
2005,109,"RBGinsburg",-1.616,0.303,-1.609,-2.235,-1.043
2006,109,"RBGinsburg",-1.709,0.294,-1.702,-2.305,-1.154
2007,109,"RBGinsburg",-1.686,0.3,-1.68,-2.286,-1.111
2008,109,"RBGinsburg",-1.722,0.293,-1.71,-2.313,-1.174
2009,109,"RBGinsburg",-1.658,0.318,-1.648,-2.292,-1.063
2010,109,"RBGinsburg",-2.054,0.336,-2.044,-2.73,-1.419
2011,109,"RBGinsburg",-2.318,0.352,-2.304,-3.045,-1.658
2012,109,"RBGinsburg",-2.396,0.385,-2.382,-3.187,-1.683
2013,109,"RBGinsburg",-2.365,0.423,-2.344,-3.254,-1.59
2014,109,"RBGinsburg",-2.419,0.461,-2.395,-3.393,-1.588
2015,109,"RBGinsburg",-2.494,0.508,-2.471,-3.561,-1.563
1941,84,"RHJackson",0.216,0.219,0.212,-0.202,0.663
1942,84,"RHJackson",0.271,0.192,0.268,-0.095,0.654
1943,84,"RHJackson",0.14,0.181,0.141,-0.211,0.501
1944,84,"RHJackson",0.193,0.174,0.193,-0.139,0.535
1945,84,"RHJackson",0.624,0.272,0.623,0.099,1.164
1946,84,"RHJackson",1.057,0.225,1.05,0.633,1.512
1947,84,"RHJackson",1.204,0.228,1.197,0.78,1.668
1948,84,"RHJackson",1.275,0.227,1.269,0.845,1.731
1949,84,"RHJackson",0.828,0.261,0.815,0.348,1.365
1950,84,"RHJackson",0.776,0.224,0.769,0.352,1.236
1951,84,"RHJackson",0.717,0.211,0.712,0.317,1.145
1952,84,"RHJackson",0.91,0.222,0.901,0.49,1.367
1953,84,"RHJackson",0.859,0.274,0.847,0.362,1.422
2005,112,"SAAlito",1.401,0.356,1.387,0.736,2.131
2006,112,"SAAlito",1.43,0.295,1.419,0.883,2.036
2007,112,"SAAlito",1.524,0.292,1.515,0.973,2.121
2008,112,"SAAlito",1.781,0.288,1.773,1.234,2.371
2009,112,"SAAlito",1.799,0.307,1.792,1.211,2.414
2010,112,"SAAlito",1.925,0.316,1.92,1.321,2.553
2011,112,"SAAlito",1.926,0.318,1.924,1.328,2.571
2012,112,"SAAlito",1.886,0.321,1.876,1.285,2.533
2013,112,"SAAlito",1.775,0.329,1.764,1.156,2.43
2014,112,"SAAlito",1.528,0.325,1.513,0.934,2.212
2015,112,"SAAlito",1.289,0.382,1.265,0.599,2.099
1981,104,"SDOConnor",1.564,0.256,1.554,1.082,2.091
1982,104,"SDOConnor",1.72,0.244,1.711,1.264,2.219
1983,104,"SDOConnor",1.686,0.24,1.681,1.235,2.174
1984,104,"SDOConnor",1.498,0.229,1.491,1.068,1.963
1985,104,"SDOConnor",1.283,0.214,1.277,0.883,1.726
1986,104,"SDOConnor",1.381,0.208,1.374,0.993,1.806
1987,104,"SDOConnor",1.566,0.233,1.561,1.12,2.029
1988,104,"SDOConnor",1.502,0.23,1.499,1.062,1.959
1989,104,"SDOConnor",1.516,0.221,1.509,1.106,1.966
1990,104,"SDOConnor",1.121,0.213,1.111,0.721,1.56
1991,104,"SDOConnor",0.689,0.198,0.686,0.305,1.09
1992,104,"SDOConnor",0.853,0.208,0.85,0.458,1.281
1993,104,"SDOConnor",1.009,0.219,1.006,0.585,1.438
1994,104,"SDOConnor",0.824,0.212,0.823,0.414,1.253
1995,104,"SDOConnor",0.837,0.22,0.837,0.421,1.273
1996,104,"SDOConnor",0.977,0.225,0.974,0.556,1.431
1997,104,"SDOConnor",1.076,0.232,1.072,0.633,1.545
1998,104,"SDOConnor",0.965,0.225,0.964,0.526,1.409
1999,104,"SDOConnor",0.872,0.217,0.867,0.464,1.311
2000,104,"SDOConnor",0.587,0.199,0.583,0.203,0.987
2001,104,"SDOConnor",0.361,0.202,0.358,-0.023,0.769
2002,104,"SDOConnor",0.252,0.215,0.247,-0.159,0.689
2003,104,"SDOConnor",0.194,0.206,0.193,-0.207,0.613
2004,104,"SDOConnor",0.116,0.231,0.112,-0.335,0.571
2005,104,"SDOConnor",0.072,0.352,0.073,-0.614,0.758
1937,79,"SFReed",-1.058,0.345,-1.051,-1.758,-0.407
1938,79,"SFReed",-1.149,0.258,-1.141,-1.679,-0.672
1939,79,"SFReed",-1.071,0.235,-1.067,-1.542,-0.628
1940,79,"SFReed",-0.739,0.206,-0.736,-1.152,-0.348
1941,79,"SFReed",-0.277,0.186,-0.277,-0.643,0.088
1942,79,"SFReed",0.128,0.177,0.128,-0.216,0.473
1943,79,"SFReed",0.145,0.174,0.144,-0.194,0.489
1944,79,"SFReed",-0.085,0.161,-0.085,-0.396,0.236
1945,79,"SFReed",0.073,0.193,0.07,-0.299,0.45
1946,79,"SFReed",0.291,0.172,0.289,-0.041,0.632
1947,79,"SFReed",0.536,0.179,0.534,0.191,0.895
1948,79,"SFReed",0.711,0.191,0.705,0.351,1.101
1949,79,"SFReed",1.147,0.247,1.142,0.676,1.637
1950,79,"SFReed",1.251,0.254,1.248,0.775,1.766
1951,79,"SFReed",1.309,0.251,1.304,0.842,1.821
1952,79,"SFReed",1.384,0.249,1.375,0.925,1.903
1953,79,"SFReed",1.53,0.262,1.522,1.037,2.073
1954,79,"SFReed",1.519,0.258,1.509,1.034,2.047
1955,79,"SFReed",1.079,0.252,1.064,0.619,1.603
1956,79,"SFReed",0.845,0.302,0.835,0.272,1.461
1994,110,"SGBreyer",-0.308,0.222,-0.303,-0.759,0.116
1995,110,"SGBreyer",-0.455,0.212,-0.451,-0.882,-0.038
1996,110,"SGBreyer",-0.711,0.214,-0.706,-1.142,-0.299
1997,110,"SGBreyer",-0.774,0.224,-0.77,-1.224,-0.333
1998,110,"SGBreyer",-0.75,0.218,-0.746,-1.184,-0.334
1999,110,"SGBreyer",-0.796,0.221,-0.792,-1.245,-0.371
2000,110,"SGBreyer",-1.247,0.24,-1.243,-1.73,-0.79
2001,110,"SGBreyer",-1.32,0.254,-1.317,-1.826,-0.831
2002,110,"SGBreyer",-1.316,0.265,-1.313,-1.849,-0.807
2003,110,"SGBreyer",-1.236,0.259,-1.228,-1.764,-0.751
2004,110,"SGBreyer",-1.091,0.256,-1.084,-1.608,-0.61
2005,110,"SGBreyer",-1.267,0.262,-1.262,-1.789,-0.769
2006,110,"SGBreyer",-1.38,0.261,-1.376,-1.91,-0.892
2007,110,"SGBreyer",-1.284,0.266,-1.279,-1.812,-0.777
2008,110,"SGBreyer",-1.181,0.246,-1.175,-1.682,-0.724
2009,110,"SGBreyer",-1.312,0.264,-1.306,-1.85,-0.817
2010,110,"SGBreyer",-1.376,0.27,-1.367,-1.931,-0.864
2011,110,"SGBreyer",-1.371,0.274,-1.367,-1.929,-0.855
2012,110,"SGBreyer",-1.359,0.281,-1.351,-1.927,-0.831
2013,110,"SGBreyer",-1.43,0.302,-1.425,-2.051,-0.864
2014,110,"SGBreyer",-1.528,0.32,-1.514,-2.186,-0.934
2015,110,"SGBreyer",-1.415,0.381,-1.401,-2.2,-0.716
1949,89,"SMinton",1.304,0.319,1.289,0.719,1.957
1950,89,"SMinton",1.422,0.283,1.411,0.9,2.007
1951,89,"SMinton",1.485,0.259,1.479,0.99,2.02
1952,89,"SMinton",1.285,0.236,1.278,0.846,1.77
1953,89,"SMinton",0.894,0.234,0.887,0.455,1.379
1954,89,"SMinton",0.886,0.23,0.876,0.456,1.354
1955,89,"SMinton",0.873,0.243,0.865,0.425,1.379
1956,89,"SMinton",0.837,0.384,0.833,0.113,1.611
2009,113,"SSotomayor",-1.549,0.349,-1.534,-2.26,-0.91
2010,113,"SSotomayor",-1.605,0.325,-1.595,-2.279,-0.997
2011,113,"SSotomayor",-1.737,0.334,-1.727,-2.422,-1.121
2012,113,"SSotomayor",-2.109,0.363,-2.092,-2.856,-1.451
2013,113,"SSotomayor",-2.316,0.404,-2.299,-3.135,-1.572
2014,113,"SSotomayor",-2.471,0.443,-2.451,-3.377,-1.664
2015,113,"SSotomayor",-2.507,0.512,-2.492,-3.547,-1.557
1949,88,"TCClark",1.123,0.311,1.114,0.541,1.766
1950,88,"TCClark",1.142,0.271,1.13,0.643,1.703
1951,88,"TCClark",1.212,0.245,1.206,0.754,1.712
1952,88,"TCClark",1.179,0.225,1.174,0.753,1.635
1953,88,"TCClark",0.617,0.209,0.616,0.221,1.038
1954,88,"TCClark",0.166,0.2,0.165,-0.227,0.56
1955,88,"TCClark",0.037,0.183,0.038,-0.321,0.4
1956,88,"TCClark",0.218,0.167,0.215,-0.108,0.544
1957,88,"TCClark",0.657,0.163,0.657,0.34,0.976
1958,88,"TCClark",0.577,0.175,0.572,0.243,0.925
1959,88,"TCClark",0.39,0.164,0.388,0.072,0.72
1960,88,"TCClark",0.795,0.182,0.794,0.442,1.16
1961,88,"TCClark",0.491,0.18,0.487,0.143,0.852
1962,88,"TCClark",0.346,0.161,0.343,0.032,0.672
1963,88,"TCClark",0.127,0.152,0.125,-0.168,0.43
1964,88,"TCClark",-0.126,0.188,-0.124,-0.501,0.245
1965,88,"TCClark",-0.05,0.173,-0.049,-0.392,0.293
1966,88,"TCClark",0.165,0.168,0.163,-0.161,0.502
1967,98,"TMarshall",-1.26,0.25,-1.251,-1.77,-0.791
1968,98,"TMarshall",-1.18,0.232,-1.173,-1.665,-0.746
1969,98,"TMarshall",-1.032,0.226,-1.027,-1.492,-0.601
1970,98,"TMarshall",-0.979,0.207,-0.973,-1.397,-0.585
1971,98,"TMarshall",-1.077,0.2,-1.074,-1.479,-0.7
1972,98,"TMarshall",-1.359,0.206,-1.354,-1.779,-0.969
1973,98,"TMarshall",-1.47,0.218,-1.466,-1.921,-1.061
1974,98,"TMarshall",-1.475,0.247,-1.467,-1.973,-1.012
1975,98,"TMarshall",-2.001,0.261,-1.994,-2.532,-1.505
1976,98,"TMarshall",-2.355,0.296,-2.347,-2.961,-1.805
1977,98,"TMarshall",-2.669,0.34,-2.662,-3.359,-2.02
1978,98,"TMarshall",-3.056,0.36,-3.045,-3.794,-2.378
1979,98,"TMarshall",-3.337,0.38,-3.329,-4.119,-2.613
1980,98,"TMarshall",-3.488,0.411,-3.476,-4.325,-2.724
1981,98,"TMarshall",-3.611,0.427,-3.601,-4.49,-2.811
1982,98,"TMarshall",-3.761,0.438,-3.753,-4.653,-2.925
1983,98,"TMarshall",-3.828,0.459,-3.817,-4.757,-2.98
1984,98,"TMarshall",-3.895,0.477,-3.875,-4.868,-2.991
1985,98,"TMarshall",-3.983,0.493,-3.964,-4.996,-3.059
1986,98,"TMarshall",-4.189,0.497,-4.17,-5.22,-3.268
1987,98,"TMarshall",-4.357,0.52,-4.335,-5.437,-3.388
1988,98,"TMarshall",-4.448,0.546,-4.419,-5.601,-3.46
1989,98,"TMarshall",-4.425,0.603,-4.393,-5.675,-3.324
1990,98,"TMarshall",-4.269,0.693,-4.24,-5.699,-2.996
1942,85,"WBRutledge",-1.113,0.296,-1.103,-1.716,-0.554
1943,85,"WBRutledge",-1.153,0.235,-1.145,-1.626,-0.715
1944,85,"WBRutledge",-1.381,0.228,-1.373,-1.842,-0.952
1945,85,"WBRutledge",-1.2,0.262,-1.189,-1.749,-0.712
1946,85,"WBRutledge",-1.445,0.25,-1.437,-1.949,-0.979
1947,85,"WBRutledge",-1.764,0.272,-1.757,-2.317,-1.26
1948,85,"WBRutledge",-1.852,0.318,-1.838,-2.513,-1.281
1969,99,"WEBurger",2.031,0.36,2.014,1.365,2.778
1970,99,"WEBurger",2.216,0.323,2.204,1.617,2.88
1971,99,"WEBurger",2.437,0.29,2.427,1.893,3.037
1972,99,"WEBurger",2.242,0.272,2.231,1.728,2.805
1973,99,"WEBurger",2.227,0.271,2.219,1.717,2.789
1974,99,"WEBurger",2.142,0.278,2.135,1.612,2.699
1975,99,"WEBurger",1.972,0.262,1.966,1.471,2.493
1976,99,"WEBurger",1.9,0.249,1.896,1.429,2.406
1977,99,"WEBurger",1.53,0.237,1.523,1.091,2.023
1978,99,"WEBurger",1.394,0.222,1.391,0.976,1.835
1979,99,"WEBurger",1.2,0.21,1.192,0.806,1.631
1980,99,"WEBurger",1.422,0.23,1.418,0.986,1.893
1981,99,"WEBurger",1.606,0.225,1.601,1.177,2.057
1982,99,"WEBurger",1.487,0.231,1.482,1.048,1.963
1983,99,"WEBurger",1.701,0.249,1.697,1.23,2.209
1984,99,"WEBurger",2.009,0.278,1.999,1.49,2.573
1985,99,"WEBurger",2.115,0.325,2.101,1.521,2.787
1971,102,"WHRehnquist",3.641,0.355,3.635,2.95,4.346
1972,102,"WHRehnquist",4.049,0.383,4.049,3.309,4.809
1973,102,"WHRehnquist",4.304,0.411,4.296,3.505,5.133
1974,102,"WHRehnquist",4.392,0.439,4.378,3.553,5.275
1975,102,"WHRehnquist",4.511,0.456,4.5,3.64,5.419
1976,102,"WHRehnquist",4.485,0.48,4.47,3.576,5.44
1977,102,"WHRehnquist",4.466,0.494,4.45,3.534,5.468
1978,102,"WHRehnquist",4.485,0.489,4.468,3.567,5.48
1979,102,"WHRehnquist",4.499,0.474,4.488,3.601,5.456
1980,102,"WHRehnquist",4.338,0.48,4.327,3.416,5.305
1981,102,"WHRehnquist",4.182,0.482,4.17,3.279,5.164
1982,102,"WHRehnquist",4.086,0.462,4.079,3.206,5.037
1983,102,"WHRehnquist",3.986,0.44,3.975,3.154,4.892
1984,102,"WHRehnquist",3.757,0.428,3.743,2.951,4.629
1985,102,"WHRehnquist",3.533,0.401,3.52,2.783,4.374
1986,102,"WHRehnquist",3.269,0.371,3.253,2.582,4.029
1987,102,"WHRehnquist",2.827,0.376,2.817,2.14,3.593
1988,102,"WHRehnquist",2.718,0.349,2.706,2.069,3.436
1989,102,"WHRehnquist",2.58,0.331,2.569,1.963,3.253
1990,102,"WHRehnquist",2.36,0.319,2.348,1.767,3.016
1991,102,"WHRehnquist",2.114,0.309,2.102,1.542,2.757
1992,102,"WHRehnquist",2.049,0.301,2.044,1.476,2.661
1993,102,"WHRehnquist",1.866,0.298,1.858,1.308,2.465
1994,102,"WHRehnquist",1.865,0.288,1.861,1.315,2.44
1995,102,"WHRehnquist",1.832,0.284,1.823,1.295,2.407
1996,102,"WHRehnquist",1.702,0.284,1.692,1.169,2.288
1997,102,"WHRehnquist",1.661,0.287,1.656,1.116,2.242
1998,102,"WHRehnquist",1.853,0.281,1.847,1.318,2.427
1999,102,"WHRehnquist",1.714,0.286,1.706,1.179,2.301
2000,102,"WHRehnquist",1.652,0.27,1.646,1.141,2.193
2001,102,"WHRehnquist",1.407,0.276,1.401,0.893,1.967
2002,102,"WHRehnquist",1.241,0.275,1.233,0.732,1.816
2003,102,"WHRehnquist",1.369,0.285,1.361,0.836,1.957
2004,102,"WHRehnquist",1.44,0.335,1.428,0.814,2.119
1956,92,"WJBrennan",-0.661,0.204,-0.656,-1.079,-0.276
1957,92,"WJBrennan",-0.77,0.177,-0.768,-1.125,-0.423
1958,92,"WJBrennan",-0.821,0.188,-0.815,-1.204,-0.465
1959,92,"WJBrennan",-0.914,0.191,-0.91,-1.293,-0.554
1960,92,"WJBrennan",-0.894,0.193,-0.889,-1.288,-0.531
1961,92,"WJBrennan",-0.843,0.205,-0.836,-1.258,-0.453
1962,92,"WJBrennan",-1.195,0.2,-1.191,-1.596,-0.809
1963,92,"WJBrennan",-1.121,0.203,-1.117,-1.529,-0.739
1964,92,"WJBrennan",-0.957,0.221,-0.95,-1.407,-0.526
1965,92,"WJBrennan",-1.084,0.216,-1.081,-1.519,-0.667
1966,92,"WJBrennan",-1.179,0.2,-1.175,-1.581,-0.805
1967,92,"WJBrennan",-1.31,0.206,-1.308,-1.714,-0.914
1968,92,"WJBrennan",-1.123,0.22,-1.119,-1.568,-0.707
1969,92,"WJBrennan",-0.998,0.218,-0.995,-1.443,-0.585
1970,92,"WJBrennan",-1.061,0.207,-1.056,-1.481,-0.671
1971,92,"WJBrennan",-1.176,0.207,-1.17,-1.606,-0.783
1972,92,"WJBrennan",-1.397,0.213,-1.391,-1.836,-0.995
1973,92,"WJBrennan",-1.708,0.236,-1.703,-2.185,-1.258
1974,92,"WJBrennan",-1.95,0.277,-1.947,-2.505,-1.419
1975,92,"WJBrennan",-2.525,0.292,-2.521,-3.114,-1.964
1976,92,"WJBrennan",-2.79,0.318,-2.782,-3.444,-2.203
1977,92,"WJBrennan",-2.886,0.335,-2.876,-3.554,-2.25
1978,92,"WJBrennan",-2.809,0.34,-2.802,-3.501,-2.175
1979,92,"WJBrennan",-2.761,0.336,-2.75,-3.436,-2.135
1980,92,"WJBrennan",-2.624,0.338,-2.615,-3.314,-1.987
1981,92,"WJBrennan",-2.591,0.337,-2.582,-3.284,-1.972
1982,92,"WJBrennan",-2.449,0.352,-2.435,-3.173,-1.792
1983,92,"WJBrennan",-2.818,0.349,-2.809,-3.518,-2.154
1984,92,"WJBrennan",-3.035,0.366,-3.025,-3.769,-2.343
1985,92,"WJBrennan",-3.14,0.391,-3.126,-3.943,-2.414
1986,92,"WJBrennan",-3.417,0.397,-3.401,-4.242,-2.687
1987,92,"WJBrennan",-3.498,0.428,-3.482,-4.393,-2.718
1988,92,"WJBrennan",-3.595,0.458,-3.571,-4.551,-2.74
1989,92,"WJBrennan",-3.657,0.502,-3.627,-4.688,-2.729
1938,81,"WODouglas",-2.79,0.49,-2.779,-3.766,-1.861
1939,81,"WODouglas",-3,0.441,-2.988,-3.907,-2.181
1940,81,"WODouglas",-3.128,0.402,-3.118,-3.951,-2.375
1941,81,"WODouglas",-3.065,0.369,-3.055,-3.802,-2.373
1942,81,"WODouglas",-2.777,0.343,-2.77,-3.471,-2.129
1943,81,"WODouglas",-2.453,0.324,-2.442,-3.108,-1.843
1944,81,"WODouglas",-1.988,0.304,-1.978,-2.619,-1.423
1945,81,"WODouglas",-1.746,0.292,-1.74,-2.338,-1.189
1946,81,"WODouglas",-1.436,0.263,-1.426,-1.977,-0.955
1947,81,"WODouglas",-1.532,0.265,-1.519,-2.083,-1.035
1948,81,"WODouglas",-1.73,0.268,-1.719,-2.288,-1.233
1949,81,"WODouglas",-1.606,0.324,-1.592,-2.284,-1.004
1950,81,"WODouglas",-1.439,0.335,-1.417,-2.157,-0.845
1951,81,"WODouglas",-1.622,0.36,-1.6,-2.39,-0.992
1952,81,"WODouglas",-2.245,0.384,-2.226,-3.05,-1.557
1953,81,"WODouglas",-2.945,0.423,-2.921,-3.819,-2.177
1954,81,"WODouglas",-3.613,0.45,-3.602,-4.53,-2.775
1955,81,"WODouglas",-4.152,0.478,-4.144,-5.121,-3.254
1956,81,"WODouglas",-4.626,0.503,-4.614,-5.641,-3.668
1957,81,"WODouglas",-5.008,0.532,-4.996,-6.094,-4.014
1958,81,"WODouglas",-5.352,0.576,-5.348,-6.507,-4.25
1959,81,"WODouglas",-5.616,0.613,-5.607,-6.844,-4.44
1960,81,"WODouglas",-5.861,0.652,-5.855,-7.173,-4.609
1961,81,"WODouglas",-6.097,0.693,-6.089,-7.498,-4.761
1962,81,"WODouglas",-6.299,0.734,-6.292,-7.771,-4.886
1963,81,"WODouglas",-6.488,0.77,-6.481,-8.029,-5.011
1964,81,"WODouglas",-6.71,0.792,-6.699,-8.284,-5.192
1965,81,"WODouglas",-6.916,0.811,-6.913,-8.517,-5.355
1966,81,"WODouglas",-7.072,0.84,-7.058,-8.746,-5.484
1967,81,"WODouglas",-7.215,0.874,-7.201,-8.977,-5.567
1968,81,"WODouglas",-7.321,0.903,-7.295,-9.142,-5.619
1969,81,"WODouglas",-7.386,0.935,-7.366,-9.311,-5.606
1970,81,"WODouglas",-7.451,0.962,-7.433,-9.405,-5.635
1971,81,"WODouglas",-7.52,0.988,-7.486,-9.516,-5.665
1972,81,"WODouglas",-7.55,1.024,-7.519,-9.603,-5.633
1973,81,"WODouglas",-7.595,1.055,-7.565,-9.752,-5.636
1974,81,"WODouglas",-7.649,1.081,-7.62,-9.828,-5.624
1975,81,"WODouglas",-7.66,1.124,-7.633,-9.927,-5.537
